epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,1078.22,0.62217,1.26442,0.99258,0.99418,1,0.995,0.90784,0.4446,1.1176,0.7843,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
83,1092.04,0.66724,1.0433,0.99502,0.99418,1,0.995,0.90784,0.4446,1.1176,0.7843,0.0027528,0.0009176,0.0027528,0.0009176,0.0027528,0.0009176,0.0027528,0.0009176
84,1106.12,0.63646,1.06168,0.96888,1,0.9999,0.995,0.87672,0.46863,1.11983,0.78312,0.0027132,0.0009044,0.0027132,0.0009044,0.0027132,0.0009044,0.0027132,0.0009044
85,1120.05,0.7029,1.01347,0.97563,1,0.9999,0.995,0.87672,0.46863,1.11983,0.78312,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
86,1133.81,0.60485,1.1221,0.95027,1,0.9999,0.995,0.87672,0.46863,1.11983,0.78312,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
87,1148.5,0.63923,0.94756,0.97391,1,0.9929,0.995,0.87672,0.45592,1.10582,0.77778,0.0025944,0.0008648,0.0025944,0.0008648,0.0025944,0.0008648,0.0025944,0.0008648
88,1162.18,0.59069,0.98603,0.93734,1,0.9929,0.995,0.87672,0.45592,1.10582,0.77778,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
89,1175.88,0.68466,0.91124,0.94031,1,0.9876,0.995,0.87672,0.43351,1.08582,0.77504,0.0025152,0.0008384,0.0025152,0.0008384,0.0025152,0.0008384,0.0025152,0.0008384
90,1189.07,0.55581,0.92143,0.90988,1,0.9876,0.995,0.87672,0.43351,1.08582,0.77504,0.0024756,0.0008252,0.0024756,0.0008252,0.0024756,0.0008252,0.0024756,0.0008252
91,1202.39,0.63411,1.05903,0.993,1,0.9876,0.995,0.87672,0.43351,1.08582,0.77504,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
92,1216.46,0.59108,0.9283,0.92276,1,0.98172,0.995,0.86421,0.44905,1.09195,0.77098,0.0023964,0.0007988,0.0023964,0.0007988,0.0023964,0.0007988,0.0023964,0.0007988
93,1230.53,0.64401,0.99978,1.00142,1,0.98172,0.995,0.86421,0.44905,1.09195,0.77098,0.0023568,0.0007856,0.0023568,0.0007856,0.0023568,0.0007856,0.0023568,0.0007856
94,1244.73,0.56165,0.92699,0.91747,1,0.98172,0.995,0.86421,0.44905,1.09195,0.77098,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
95,1259.68,0.54931,0.89341,0.91642,1,0.99408,0.995,0.88497,0.43201,1.06631,0.76716,0.0022776,0.0007592,0.0022776,0.0007592,0.0022776,0.0007592,0.0022776,0.0007592
96,1274.18,0.59112,0.99425,1.01792,1,0.99408,0.995,0.88497,0.43201,1.06631,0.76716,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
97,1288.68,0.54397,0.851,0.90189,1,0.98713,0.995,0.88497,0.40855,1.0626,0.76162,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
98,1301.03,0.61818,0.93179,0.95629,1,0.98713,0.995,0.88497,0.40855,1.0626,0.76162,0.0021588,0.0007196,0.0021588,0.0007196,0.0021588,0.0007196,0.0021588,0.0007196
99,1314.56,0.62466,0.98787,0.99781,1,0.98713,0.995,0.88497,0.40855,1.0626,0.76162,0.0021192,0.0007064,0.0021192,0.0007064,0.0021192,0.0007064,0.0021192,0.0007064
100,1328.86,0.51075,0.94952,0.89306,1,0.99149,0.995,0.88497,0.42824,1.03546,0.76008,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
